id,definitionId,set,dots,slot,tier,level,locked,rerolledCount,equipped,source,assignedTo,primaryStat,primaryValue,primaryValueRaw,primaryRolls,primaryRawRolls,secondary1Stat,secondary1Value,secondary1ValueRaw,secondary1Rolls,secondary1RawRolls,secondary2Stat,secondary2Value,secondary2ValueRaw,secondary2Rolls,secondary2RawRolls,secondary3Stat,secondary3Value,secondary3ValueRaw,secondary3Rolls,secondary3RawRolls,secondary4Stat,secondary4Value,secondary4ValueRaw,secondary4Rolls,secondary4RawRolls,tierName,secondaryRollsTotal,secondaryRollsMaxAtTier,secondaryRollsRemainingAtTier,modQuality,modValue,speedQuality,potentialCeiling,potentialGain,projected6EQuality,nextInvestment,calibrationAttemptsMax,calibrationAttemptsUsed,calibrationAttemptsRemaining,calibrationNextCost,fitScore,primaryFit,secondaryFit,setFit,fitTarget,characterFit,recommendedAction,reason,replacementGain,replacesModId,chainStatus,patchOwner,patchOwnerName,patchSlot,chainId,chainStep,chainLength,chainPath,accountGain,optimizerTarget,optimizerScore,optimizerTotalScore,optimizerBaseScore,optimizerSetBonusScore,optimizerCurrentScore,optimizerGain,optimizerSource,optimizerCandidate,optimizerModScore,optimizerFullBuildGain,optimizerFullBuildSetBonus,chainGain
0GCYtSVTTnyDFDUJBKtcvg,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Health %,5.88%,588,0,,Potency %,1.4%,140,1,1400,Defense %,1.35%,135,1,1355,Tenacity %,2.13%,213,1,2132,Speed,5,50000,1,582990,E,4,4,0,100.0,51.5,83.3,51.5,0,0.0,slice,0,0,0,0,16.2,0.0,25.0,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
1_os2EuqQJWYXijdPWXMSg,552,Critical Chance,5,Arrow,4,15,False,0,True,POSTAĆ: CAPTAINTARPALS,ID6hA34wT-ehem_mRgkBFw,Speed,30,300000,0,,Health,567,5670000,2,27828998|28954073,Protection,657,6570000,1,65775214,Critical Chance %,4.08%,408,2,1984|2102,Offense %,0.87%,87,2,518|357,B,7,7,0,100.0,54.0,0.0,54.0,0,0.0,slice,0,0,0,0,28.5,95.1,14.5,0.0,JARJARBINKS,CANDIDATE,KEEP,obserwuj przed wydaniem materiałów,0.0,,,,,,,,,,,,,,,,,,,,,,,
4-DU89I2QCKAnEoXasgP-g,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Health %,5.88%,588,0,,Protection %,2.12%,212,1,2120,Offense,32,320000,1,3124284,Protection,669,6690000,1,66975431,Speed,5,50000,1,588960,E,4,4,0,100.0,75.0,83.3,75.0,0,0.0,slice,0,0,0,0,33.7,0.0,51.8,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
Aqp9bzjCSJydr4jUE54U8A,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: CT210408,YPRCzSBMSZOy5sV9hrImNg,Speed,30,300000,0,,Offense %,0.51%,51,1,517,Tenacity %,2.24%,224,1,2246,Health,328,3280000,1,32843618,Protection,731,7310000,1,73121871,E,4,4,0,100.0,54.5,0.0,54.5,0,0.0,slice,0,0,0,0,30.3,95.1,17.4,0.0,JARJARBINKS,CANDIDATE,KEEP,obserwuj przed wydaniem materiałów,0.0,,,,,,,,,,,,,,,,,,,,,,,
ET3qzR9qRQe_RM0uwek99A,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Health %,5.88%,588,0,,Offense,44,440000,1,4300080,Critical Chance %,1.91%,191,1,1915,Speed,5,50000,1,553680,Defense,9,90000,1,951090,E,4,4,0,100.0,60.2,83.3,60.2,0,0.0,slice,0,0,0,0,27.0,0.0,41.5,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
El4awg0IRqGHHxJLEFzEsA,552,Critical Chance,5,Arrow,2,15,False,0,True,POSTAĆ: HUYANG,DRi0qZeRRkKUKuIu-ZZ2yA,Speed,30,300000,0,,Health %,0.71%,71,1,718,Tenacity %,1.82%,182,1,1827,Protection %,2.85%,285,2,1127|1726,Defense,8,80000,1,827904,D,5,5,0,100.0,55.2,0.0,55.2,0,0.0,slice,0,0,0,0,32.3,95.1,20.4,0.0,JARJARBINKS,CANDIDATE,KEEP,obserwuj przed wydaniem materiałów,0.0,,,,,,,,,,,,,,,,,,,,,,,
JPbGHgmZRbO98aelcNwKvA,552,Critical Chance,5,Arrow,3,15,False,0,True,POSTAĆ: APPO,BYy6_mWtS8ao4M8ZdNvnBw,Speed,30,300000,0,,Defense,13,130000,2,533953|863135,Offense,24,240000,1,2334948,Critical Chance %,3.58%,358,2,1978|1606,Tenacity %,2.17%,217,1,2174,C,6,6,0,100.0,38.3,0.0,38.3,0,0.0,slice,0,0,0,0,29.6,95.1,16.2,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
MpOvdBTgT7GxySQXABMi8g,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: VEERS,psU_fbWrRvmPvrnEGCuShA,Speed,30,300000,0,,Tenacity %,1.21%,121,1,1212,Critical Chance %,1.55%,155,1,1551,Defense,5,50000,1,522879,Potency %,2.13%,213,1,2137,E,4,4,0,100.0,30.8,0.0,30.8,0,0.0,slice,0,0,0,0,24.1,95.1,7.8,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
Nmx7B8UJQya90vKhCC_QCQ,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: FIRSTORDERTIEPILOT,OxZ6DwWiQLGs4heGmPpiCg,Speed,30,300000,0,,Critical Chance %,1.69%,169,1,1699,Tenacity %,1.6%,160,1,1603,Health,271,2710000,1,27151810,Potency %,1.13%,113,1,1131,E,4,4,0,100.0,34.2,0.0,34.2,0,0.0,slice,0,0,0,0,24.2,95.1,8.0,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
QauoTnhWQAy6UlLtZy0eaA,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: WICKET,8DP_aO6lT0WLxgUPVNx4Hw,Speed,30,300000,0,,Offense %,0.45%,45,1,457,Health,395,3950000,1,39591925,Potency %,1.14%,114,1,1145,Protection %,2.11%,211,1,2118,E,4,4,0,100.0,61.0,0.0,61.0,0,0.0,slice,0,0,0,0,30.0,95.1,16.8,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
