id,definitionId,set,dots,slot,tier,level,locked,rerolledCount,equipped,source,assignedTo,primaryStat,primaryValue,primaryValueRaw,primaryRolls,primaryRawRolls,secondary1Stat,secondary1Value,secondary1ValueRaw,secondary1Rolls,secondary1RawRolls,secondary2Stat,secondary2Value,secondary2ValueRaw,secondary2Rolls,secondary2RawRolls,secondary3Stat,secondary3Value,secondary3ValueRaw,secondary3Rolls,secondary3RawRolls,secondary4Stat,secondary4Value,secondary4ValueRaw,secondary4Rolls,secondary4RawRolls
1_os2EuqQJWYXijdPWXMSg,552,Critical Chance,5,Arrow,4,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Health %,5.67%,5670000,2,27828998|28954073,Protection %,6.57%,6570000,1,65775214,Defense,408,408,2,1984|2102,Health,87,87,2,518|357
Aqp9bzjCSJydr4jUE54U8A,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Health,51,51,1,517,Potency %,0.000224%,224,1,2246,Health %,3.28%,3280000,1,32843618,Protection %,7.31%,7310000,1,73121871
El4awg0IRqGHHxJLEFzEsA,552,Critical Chance,5,Arrow,2,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Offense,71,71,1,718,Potency %,0.000182%,182,1,1827,Speed,285,285,2,1127|1726,Tenacity %,0.08%,80000,1,827904
JPbGHgmZRbO98aelcNwKvA,552,Critical Chance,5,Arrow,3,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Tenacity %,0.13%,130000,2,533953|863135,Critical Avoidance %,0.24%,240000,1,2334948,Defense,358,358,2,1978|1606,Potency %,0.000217%,217,1,2174
MpOvdBTgT7GxySQXABMi8g,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Potency %,0.000121%,121,1,1212,Defense,155,155,1,1551,Tenacity %,0.05%,50000,1,522879,Defense %,0.000213%,213,1,2137
Nmx7B8UJQya90vKhCC_QCQ,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Defense,169,169,1,1699,Potency %,0.00016%,160,1,1603,Health %,2.71%,2710000,1,27151810,Defense %,0.000113%,113,1,1131
QauoTnhWQAy6UlLtZy0eaA,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Health,45,45,1,457,Health %,3.95%,3950000,1,39591925,Defense %,0.000114%,114,1,1145,Speed,211,211,1,2118
SQrxJbkoQQKcpmIFsx0LGg,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Defense %,0.000136%,136,1,1369,Potency %,0.00021%,210,1,2108,Health %,3.19%,3190000,1,31949987,Critical Avoidance %,0.42%,420000,1,4131132
WYIppPH4T_OgKOnE8iNqGw,552,Critical Chance,5,Arrow,5,15,False,0,True,equippedStatMod,,Health,588,588,0,,Offense %,0.14%,140000,3,529290|438510|436230,Protection,362,362,3,1641|1113|872,Health %,2.69%,2690000,1,26999657,Defense,202,202,1,2025
XO20-QSiT_OdbnLqUCur1g,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Defense %,0.000141%,141,1,1413,Potency %,0.000168%,168,1,1683,Health,46,46,1,468,Defense,218,218,1,2185
_AvlqIewT1W2C0V3Aq0moA,552,Critical Chance,5,Arrow,5,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Defense %,0.000129%,129,1,1297,Tenacity %,0.3%,300000,4,922131|627102|881853|616175,Health,82,82,2,287|535,Health %,2.93%,2930000,1,29380530
hNNmG5x0SwWPjBFekA-_wQ,552,Critical Chance,5,Arrow,5,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Tenacity %,0.06%,60000,1,683109,Defense,282,282,2,1150|1678,Health %,9.08%,9080000,3,33968693|21646443|35243778,Potency %,0.000403%,403,2,1985|2048
o7zCfjDGTDm6frfSu_5UHQ,552,Critical Chance,5,Arrow,1,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Tenacity %,0.09%,90000,1,961233,Speed,124,124,1,1241,Critical Avoidance %,0.27%,270000,1,2639328,Health %,2.69%,2690000,1,26976084
vJ334euuRHecFdfdCZnJ1g,552,Critical Chance,5,Arrow,3,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Health,133,133,3,319|473|544,Critical Avoidance %,0.29%,290000,1,2889444,Health %,2.61%,2610000,1,26110312,Protection,169,169,1,1698
w1x6GZOgRhOeF3U_VF4-9g,552,Critical Chance,5,Arrow,3,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Potency %,0.000177%,177,1,1779,Defense,576,576,3,1424|2203|2141,Tenacity %,0.06%,60000,1,673701,Health %,2.87%,2870000,1,28771918
y8WytUpmS7GRd30ql1mPrA,552,Critical Chance,5,Arrow,5,15,False,0,True,equippedStatMod,,Offense %,0.3%,300000,0,,Defense,224,224,1,2247,Defense %,0.000765%,765,4,2048|1924|1560|2118,Tenacity %,0.09%,90000,1,961870,Protection %,14.55%,14550000,2,68358380|77146128
0GCYtSVTTnyDFDUJBKtcvg,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense %,0.00014%,140,1,1400,Protection,135,135,1,1355,Potency %,0.000213%,213,1,2132,Offense %,0.05%,50000,1,582990
4-DU89I2QCKAnEoXasgP-g,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Speed,212,212,1,2120,Critical Avoidance %,0.32%,320000,1,3124284,Protection %,6.69%,6690000,1,66975431,Offense %,0.05%,50000,1,588960
ET3qzR9qRQe_RM0uwek99A,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Critical Avoidance %,0.44%,440000,1,4300080,Defense,191,191,1,1915,Offense %,0.05%,50000,1,553680,Tenacity %,0.09%,90000,1,951090
SBLYH_jPT7u_c4_jp99BDQ,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Health,475,475,0,,Critical Avoidance %,0.37%,370000,1,3697704,Offense,72,72,1,722,Offense %,0.05%,50000,1,597810,Defense %,0.000149%,149,1,1495
p_fVP5BPQrydOeq9-Y34zw,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense,193,193,1,1933,Protection,153,153,1,1531,Offense %,0.05%,50000,1,543930,Protection %,5.71%,5710000,1,57149433
z1sVpAShSfOXrc-DA2xuVw,552,Critical Chance,5,Arrow,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Potency %,0.000151%,151,1,1513,Offense %,0.05%,50000,1,502860,Defense,173,173,1,1734,Health,45,45,1,459
zJHpatY4SOuircvJw75qFg,552,Critical Chance,5,Arrow,1,12,False,0,True,equippedStatMod,,Offense,475,475,0,,Offense %,0.05%,50000,1,516390,Potency %,0.000163%,163,1,1639,Health %,2.7%,2700000,1,27021087,Tenacity %,0.07%,70000,1,780031
VwWnDFG3SkqOnbsdXZjnPQ,552,Critical Chance,5,Arrow,2,9,False,0,False,unequippedMod,,Health,363,363,0,,Protection,89,89,1,898,Offense %,0.05%,50000,1,500220,Defense,137,137,1,1370,Protection %,7.11%,7110000,1,71136737
YOuM88ZbRr2cOweG1TLngg,552,Critical Chance,5,Arrow,2,9,False,0,True,equippedStatMod,,Offense %,0.19%,190000,0,,Speed,114,114,1,1148,Critical Avoidance %,0.31%,310000,1,3048816,Protection %,8%,8000000,1,80053228,Protection,136,136,1,1367
aqjuBJbcS1y14JMD6t-e4w,552,Critical Chance,5,Arrow,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Defense,138,138,1,1389,Offense %,0.05%,50000,1,538950,Critical Avoidance %,0.36%,360000,1,3538788,Tenacity %,0.05%,50000,1,514010
hjMxj-p-R9uxIAYgqTp3lQ,552,Critical Chance,5,Arrow,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Protection %,6.55%,6550000,1,65571717,Protection,101,101,1,1017,Offense %,0.05%,50000,1,574140,Potency %,0.000144%,144,1,1441
