name,baseId,definitionId,id,rarity,level,gearTier,relicTier
MAGMATROOPER,MAGMATROOPER,MAGMATROOPER:SEVEN_STAR,ciIhlDp8RO6GCFQyqEjvRw,7,85,10,1
HERMITYODA,HERMITYODA,HERMITYODA:SEVEN_STAR,35DQc3uwTDaDVs0AyRnA5Q,7,85,13,5
GREEFKARGA,GREEFKARGA,GREEFKARGA:SEVEN_STAR,glB8R2fVS3qp3gZo3f4x4Q,7,85,13,3
ZUCKUSS,ZUCKUSS,ZUCKUSS:FOUR_STAR,2Hnd3xTKQx2mjOfWoquviQ,4,85,8,1
ZEBS3,ZEBS3,ZEBS3:SEVEN_STAR,D5q4C1q7Ql2DCjsBT9cC_g,7,85,13,7
LUTHENRAEL,LUTHENRAEL,LUTHENRAEL:SEVEN_STAR,588MLOXGRKqGUSJCf2nggw,7,85,9,1
BARRISSOFFEE,BARRISSOFFEE,BARRISSOFFEE:SEVEN_STAR,6re5azNmTWyiNI9wV_gGaw,7,85,11,1
LUKESTARKILLER,LUKESTARKILLER,LUKESTARKILLER:THREE_STAR,iSPiEi8YR8qoQb2s6gE0eg,3,83,9,1
CT210408,CT210408,CT210408:SEVEN_STAR,YPRCzSBMSZOy5sV9hrImNg,7,85,9,1
B1BATTLEDROIDV2,B1BATTLEDROIDV2,B1BATTLEDROIDV2:SEVEN_STAR,9SndrAqBTzqisiBz5g4QLw,7,85,13,7
COLONELSTARCK,COLONELSTARCK,COLONELSTARCK:SEVEN_STAR,8ckDli7mTvaKsfLl2IuUSQ,7,85,9,1
VANGUARDTEMPLEGUARD,VANGUARDTEMPLEGUARD,VANGUARDTEMPLEGUARD:SEVEN_STAR,MAOBTufcR42eSPIIexcWCw,7,85,13,7
BB8,BB8,BB8:SEVEN_STAR,sQ2eJXTSQZmKc84UCtg_fQ,7,85,13,9
POGGLETHELESSER,POGGLETHELESSER,POGGLETHELESSER:SEVEN_STAR,svKQSHAyRUmW1dqnxfD2Kw,7,85,12,1
FIRSTORDERSPECIALFORCESPILOT,FIRSTORDERSPECIALFORCESPILOT,FIRSTORDERSPECIALFORCESPILOT:SEVEN_STAR,2FNKDRFzSVmSla755aKVqQ,7,85,13,6
CEREJUNDA,CEREJUNDA,CEREJUNDA:SEVEN_STAR,72VBeoIDQ36DwUyEXxNADA,7,85,12,1
GENERALKENOBI,GENERALKENOBI,GENERALKENOBI:SEVEN_STAR,tMRqlgB7ScSYaYHOXV5Vwg,7,85,13,5
JAWASCAVENGER,JAWASCAVENGER,JAWASCAVENGER:SEVEN_STAR,yRCvDW99TKKBJW3GpM2Xkw,7,85,9,1
CAPTAINTARPALS,CAPTAINTARPALS,CAPTAINTARPALS:SEVEN_STAR,ID6hA34wT-ehem_mRgkBFw,7,85,13,7
L3_37,L3_37,L3_37:SIX_STAR,eS3LbQ-4S4WqItNYOU7j6g,6,85,11,1
DROIDEKA,DROIDEKA,DROIDEKA:SEVEN_STAR,Xx9Ul2lHTH-LstKZjbmpBQ,7,85,13,7
EWOKSCOUT,EWOKSCOUT,EWOKSCOUT:SEVEN_STAR,69GroYoGQ3G5kdeYik4aRQ,7,85,12,1
K2SO,K2SO,K2SO:SEVEN_STAR,AfIj9P1hQAaZaMN6z6L37w,7,85,11,1
NIGHTSISTERACOLYTE,NIGHTSISTERACOLYTE,NIGHTSISTERACOLYTE:SEVEN_STAR,cpJlNZsaRV-Sn2cV0HaJAQ,7,85,10,1
SITHTROOPER,SITHTROOPER,SITHTROOPER:SEVEN_STAR,7ZGh4za_TBu8rPOEZFEZFQ,7,85,9,1
50RT,50RT,50RT:SEVEN_STAR,513pynD8T6a2FqFSDdtzAA,7,85,13,9
BADBATCHHUNTER,BADBATCHHUNTER,BADBATCHHUNTER:SIX_STAR,ftgjVcXCTeG9kkOKfFlUNA,6,85,13,3
IG86SENTINELDROID,IG86SENTINELDROID,IG86SENTINELDROID:SEVEN_STAR,_2L-fZJ-RlWIgv7v8PDIBQ,7,85,12,1
SITHMARAUDER,SITHMARAUDER,SITHMARAUDER:FIVE_STAR,KhTJFN1rSYC3fNW3msb0Bw,5,85,12,1
C3POCHEWBACCA,C3POCHEWBACCA,C3POCHEWBACCA:SEVEN_STAR,O-gueLfjRhidXy013cMzPQ,7,85,13,3
REYJEDITRAINING,REYJEDITRAINING,REYJEDITRAINING:SEVEN_STAR,SEUrtsaDQgaGqOxitlhv-w,7,85,13,10
KRRSANTAN,KRRSANTAN,KRRSANTAN:SEVEN_STAR,Hp8Wc9waS6mDnvwCl6g3Sw,7,85,13,3
BATCHERS3,BATCHERS3,BATCHERS3:SIX_STAR,FoT8Jax1QlSDkoKEQLaNhA,6,85,10,1
KYLOREN,KYLOREN,KYLOREN:SEVEN_STAR,0VuxRFwSSsanYzCXDOc8jg,7,85,9,1
DENGAR,DENGAR,DENGAR:SEVEN_STAR,BDU4PKqfT9OYtoYJHvWgEA,7,85,13,7
KIADIMUNDI,KIADIMUNDI,KIADIMUNDI:FIVE_STAR,0131DxtKRyKg2S8mtvqgHQ,5,85,8,1
GUNGANPHALANX,GUNGANPHALANX,GUNGANPHALANX:SEVEN_STAR,wjbd-YpMSEeRlf52LR4kOg,7,85,13,7
BOKATAN,BOKATAN,BOKATAN:SEVEN_STAR,JCTZSSscTn-Zm1kJbrV0pw,7,85,8,1
MAGNAGUARD,MAGNAGUARD,MAGNAGUARD:SEVEN_STAR,Z8Ga0KbwQFW3sczCZvLntg,7,85,13,7
FIFTHBROTHER,FIFTHBROTHER,FIFTHBROTHER:SEVEN_STAR,9We500nHT8GboemEWp15sg,7,85,13,9
RANGETROOPER,RANGETROOPER,RANGETROOPER:SEVEN_STAR,Nrp4ifwXSi2gJHQA5JtVRg,7,85,13,3
QUIGONJINN,QUIGONJINN,QUIGONJINN:SEVEN_STAR,4GDXlgfpST-ncBlJC4MD5Q,7,85,10,1
ROYALGUARD,ROYALGUARD,ROYALGUARD:SEVEN_STAR,Tm3WsbyASby5qAiySY83Mw,7,85,12,1
