name,definitionId,baseId,id,rarity,level,gearTier,relicTier
TIE Echelon,FIRSTORDERTIEECHELON:SIX_STAR,FIRSTORDERTIEECHELON,h2HsphcKSrWieKopMhMEcA,6,85,1,
Raven's Claw,RAVENSCLAW:SEVEN_STAR,RAVENSCLAW,XcmtTfoMS52SeVfUzq4XLw,7,85,1,
Marauder,MARAUDER:SIX_STAR,MARAUDER,GhF3N3P2QiqRJ5nSqaNKww,6,85,1,
Malevolence,CAPITALMALEVOLENCE:SEVEN_STAR,CAPITALMALEVOLENCE,iFMh4H8jQuu7sfT5T4HcUw,7,85,1,
First Order SF TIE Fighter,TIEFIGHTERFOSF:SEVEN_STAR,TIEFIGHTERFOSF,9dNt2FHaQPCvmS9B9onGaw,7,85,1,
Han's Millennium Falcon,MILLENNIUMFALCON:SEVEN_STAR,MILLENNIUMFALCON,MWWKSlmeQxKvVeRDdDER_Q,7,85,1,
Scimitar,SITHINFILTRATOR:SEVEN_STAR,SITHINFILTRATOR,1eK8_TIQSMO__Rq_6sHZvw,7,85,1,
First Order TIE Fighter,TIEFIGHTERFIRSTORDER:SEVEN_STAR,TIEFIGHTERFIRSTORDER,n350_2cvQkGeagTC4hRG7A,7,85,1,
Rey's Millennium Falcon,MILLENNIUMFALCONEP7:SEVEN_STAR,MILLENNIUMFALCONEP7,xc7huBrqSdy7hC-k3GfCKQ,7,85,1,
Comeuppance,COMEUPPANCE:SEVEN_STAR,COMEUPPANCE,CyAPNiiIRpKleUBuwxN-qA,7,85,1,
Sith Fighter,SITHFIGHTER:FOUR_STAR,SITHFIGHTER,KXsFEQOdTc-kYrcp8hj8zA,4,85,1,
Resistance X-wing,XWINGRESISTANCE:SEVEN_STAR,XWINGRESISTANCE,P8LkmRmPSYmzpKj7_yNpsw,7,85,1,
Mark VI Interceptor,SITHSUPREMACYCLASS:FIVE_STAR,SITHSUPREMACYCLASS,HInqBLv2SxOaMAsKm-Qv0Q,5,85,1,
Anakin's Eta-2 Starfighter,JEDISTARFIGHTERANAKIN:SEVEN_STAR,JEDISTARFIGHTERANAKIN,cH7Yn689So6xoSpCCLgSZA,7,85,1,
Raddus,CAPITALRADDUS:SEVEN_STAR,CAPITALRADDUS,32fNJzLPR3aIf4-fq9mi3Q,7,85,1,
Hound's Tooth,HOUNDSTOOTH:SEVEN_STAR,HOUNDSTOOTH,6R3AyBDuSoa98gvyFoOnQg,7,85,1,
IG-2000,IG2000:SEVEN_STAR,IG2000,RjuLFCD5T9WPUt63GyJGUA,7,85,1,
Xanadu Blood,XANADUBLOOD:SEVEN_STAR,XANADUBLOOD,tumPUrXFQmeXEQ8hOgP0Kg,7,85,1,
Ghost,GHOST:SEVEN_STAR,GHOST,VBcLBg-_Rl2kYzVoftLZGA,7,85,1,
Imperial TIE Bomber,TIEBOMBERIMPERIAL:SEVEN_STAR,TIEBOMBERIMPERIAL,JkhtQ_PeRrO-mzXoN5cB0Q,7,85,1,
TIE Advanced x1,TIEADVANCED:SEVEN_STAR,TIEADVANCED,cvviiI3HS9-oMk9Gqsz-Aw,7,85,1,
Lando's Millennium Falcon,MILLENNIUMFALCONPRISTINE:SEVEN_STAR,MILLENNIUMFALCONPRISTINE,cABtTzY7SCySuZyULCvREw,7,85,1,
Ebon Hawk,EBONHAWK:SEVEN_STAR,EBONHAWK,g3x0HQiVShiLh0tyPN-7Uw,7,85,1,
Plo Koon's Jedi Starfighter,BLADEOFDORIN:SEVEN_STAR,BLADEOFDORIN,es5w3jq8RtKLcSaOOCSAUg,7,85,1,
Razor Crest,RAZORCREST:SEVEN_STAR,RAZORCREST,K0GHytrXScGg22_aGOeZKw,7,85,1,
MG-100 StarFortress SF-17,MG100STARFORTRESSSF17:SEVEN_STAR,MG100STARFORTRESSSF17,wOP3mLqaQ_qqWB16NW_prQ,7,85,1,
Vulture Droid,VULTUREDROID:FOUR_STAR,VULTUREDROID,SMMaEJHASsOyegXHC7C3Rg,4,85,1,
Outrider,OUTRIDER:SIX_STAR,OUTRIDER,hGYlRxsnSK2x84xjym75Ng,6,85,1,
Umbaran Starfighter,UMBARANSTARFIGHTER:SEVEN_STAR,UMBARANSTARFIGHTER,2VA7HoQQSOmQ87OsbTHxDA,7,85,1,
Rogue One,ROGUEONESHIP:FOUR_STAR,ROGUEONESHIP,KC3F7XpdSA2AnhwXwIJ8Ng,4,85,1,
Rebel B-wing,BWINGREBEL:SIX_STAR,BWINGREBEL,GM7UOrCoSYalA1al2IlggQ,6,85,1,
Bistan's U-wing,UWINGSCARIF:SEVEN_STAR,UWINGSCARIF,nG1ltJWrROS7KQ4z5Y3B6w,7,85,1,
